UT,TI,AU,AF,SO,PY,AB,DE,ID,CR,DI,C1,RP,TC,Z9,AR,BP,EA,EI,EP,IS,OI,PD,PM,PN,PT,RI,SI,SN,SU,VL,VR,include,reason_code,reason_detail,screener,screen_date,stage
WOS:001132966400006,AI in tertiary education: progress on research and practice,"Thompson, K","Thompson, Kate",AUSTRALASIAN JOURNAL OF EDUCATIONAL TECHNOLOGY,2023,,,,,10.14742/ajet.9251,,,,,,,,1449-5554,,5,"Lodge, Jason/0000-0001-6330-6160; Thompson, Kate/0000-0003-0738-0205;",,,,J,"Lodge, Jason/F-8079-2018; Corrin, Linda/AAD-8545-2019",,1449-3098,,39.0,,True,,,董恒清,2026-05-25,initial
WOS:001530466600020,Unleashing the power of text for credit default prediction: Comparing,"Wu, ZX","Wu, Zongxiao",EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,2025,,,,,10.1016/j.ejor.2025.04.032,,,,,,691,JUN 2025,1872-6860,706,3,"Wu, Zongxiao/0000-0002-8899-7575; Li, Yaoyiran/0000-0001-9529-3878",NOV 1,,,J,"Wu, Zongxiao/LKJ-7934-2024; Li, Yaoyiran/JXX-8357-2024",,0377-2217,,326.0,,True,,,董恒清,2026-05-25,initial
WOS:001451451800001,"Explainable AI, LLM, and digitized archival cultural heritage: a case","Toth, GM","Toth, Gabor Mihaly",AI & SOCIETY,2025,,,,,10.1007/s00146-025-02238-5,,,,,,4561,MAR 2025,1435-5655,4573,6,"Pruski, Cedric/0000-0002-2103-0431; Tóth, Gábor",AUG,,,J,,,0951-5666,,40.0,,True,,,董恒清,2026-05-25,initial
WOS:001532162700008,Intelligent Extraction of Intangible Cultural Heritage Visual Elements,"Zhang, ZW","Zhang, Ziwei",INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGIES AND SYSTEMS APPROACH,2025,,,,,10.4018/IJITSA.384915,,,,,384915,,,1935-5718,,1,,,,,J,,,1935-570X,,18.0,,True,,,董恒清,2026-05-25,initial
WOS:001087046600008,THE CRISIS OF ARTIFICIAL INTELLIGENCE: A NEW DIGITAL HUMANITIES,"Chun, J","Chun, Jon",INTERNATIONAL JOURNAL OF HUMANITIES AND ARTS COMPUTING-A JOURNAL OF,2023,,,,,10.3366/ijhac.2023.0310,,,,,,147,,1755-1706,167,2,"Elkins, Katherine/0000-0001-9887-4854; Chun, Jon/0000-0002-5315-6784",OCT,,,J,"Elkins, Katherine/LFS-2844-2024",SI,1753-8548,,17.0,,False,E4,Excluded by E4 rule,董恒清,2026-05-25,initial
WOS:001179470400001,Digital assemblages with AI for creative interpretation of short stories,"O'Halloran, K","O'Halloran, Kieran",DIGITAL SCHOLARSHIP IN THE HUMANITIES,2024,,,,,10.1093/llc/fqad050,,,,,,657,MAR 2024,2055-768X,689,2,"O'Halloran, Kieran/0000-0003-3424-994X",MAR 6,,,J,,,2055-7671,,39.0,,True,,,董恒清,2026-05-25,initial
WOS:001398078900003,Unraveling Generative AI Adoption in Enterprise Digital Platforms: The,"Zhang, L","Zhang, Lin",IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,2025,,,,,10.1109/TEM.2024.3513773,,,,,,335,,1558-0040,348,,"Zhang, Lin/0000-0003-3985-1374",,,,J,"Shao, Zhen/PBV-7807-2025; Benitez, Jose/KVU-6956-2024; Zhang,",,0018-9391,,72.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001144150800005,Generative AI for Economic Research: Use Cases and Implications for,"Korinek, A","Korinek, Anton",JOURNAL OF ECONOMIC LITERATURE,2023,,,,,10.1257/jel.20231736,,,,,,1281,,2328-8175,1317,4,,DEC,,,J,,,0022-0515,,61.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001472754600001,Machine Bias. How Do Generative Language Models Answer Opinion Polls?,"Boelaert, J","Boelaert, Julien",SOCIOLOGICAL METHODS & RESEARCH,2025,,,,,10.1177/00491241251330582,,,,,,1156,APR 2025,1552-8294,1196,3,"Ollion, Etienne/0000-0003-3099-5240; Coavoux, Samuel/0000-0001-7991-3555",AUG,,,J,"Petev, Ivaylo/KVC-1400-2024; Coavoux, Samuel/AAV-5125-2021",SI,0049-1241,,54.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001651236200006,Mapping the technological evolution of generative AI: a patent network,"Mohammadi, N","Mohammadi, Navid",SCIENTIFIC REPORTS,2025,,,,,10.1038/s41598-025-26810-7,,,,,45690,,,,,1,,DEC 26,41453986.0,,J,"Dahooie, Jalil/ADE-7571-2022; Mohammadi, Navid/JCP-0608-2023",,2045-2322,,15.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
