UT,TI,AU,AF,SO,PY,AB,DE,ID,CR,DI,C1,RP,TC,Z9,AR,BP,EA,EI,EP,IS,OI,PD,PM,PN,PT,RI,SI,SN,SU,VL,VR,include,reason_code,reason_detail,screener,screen_date,stage
WOS:001302897500001,The promise and challenges of generative AI in education,"Giannakos, M","Giannakos, Michail",BEHAVIOUR & INFORMATION TECHNOLOGY,2025,,,,,10.1080/0144929X.2024.2394886,,,,,,2518,AUG 2024,1362-3001,2544,11,"Brusilovsky, Peter/0000-0002-1902-1464; Cukurova,",JUL 3,,,J,"Brusilovsky, Peter/AAJ-2440-2020; Cukurova, Mutlu/AAE-9382-2019;",,0144-929X,,44.0,,True,,,董恒清,2026-05-25,initial
WOS:000940866500001,EA-GAN: restoration of text in ancient Chinese books based on an example,"Wenjun, Z","Wenjun, Zheng",HERITAGE SCIENCE,2023,,,,,10.1186/s40494-023-00882-y,,,,,42,,,,,1,,MAR 1,,,J,,,2050-7445,,11.0,,True,,,董恒清,2026-05-25,initial
WOS:001432829600001,Survey on Latest Advances in Natural Language Processing Applications of,"Koç, C","Koc, Canan",WILEY INTERDISCIPLINARY REVIEWS-DATA MINING AND KNOWLEDGE DISCOVERY,2025,,,,,10.1002/widm.70004,,,,,e70004,,,1942-4795,,1,"Iantovics, Laszlo Barna/0000-0001-6254-9291; Koç,",FEB 26,,,J,"Iantovics, Laszlo Barna/B-1791-2013; Koç, Canan/AGC-5935-2022; OZYURT,",,1942-4787,,15.0,,True,,,董恒清,2026-05-25,initial
WOS:001538926300008,Political Actors in the Age of Generative Artificial Intelligence: The,"Sárovec, D","Sarovec, Daniel",ACTA INFORMATICA PRAGENSIA,2025,,,,,10.18267/j.aip.272,,,,,,282,,1805-4951,295,2,"Šárovec, Daniel/0000-0003-2491-538X",,,,J,"Šárovec, Daniel/O-3640-2017",,,,14.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001374093600001,TCMChat: A generative large language model for traditional Chinese,"Dai, YZ","Dai, Yizheng",PHARMACOLOGICAL RESEARCH,2024,,,,,10.1016/j.phrs.2024.107530,,,,,107530,,DEC 2024,1096-1186,,,"Fan, Xiaohui/0000-0002-6336-3007",DEC,39617279.0,,J,"zhang, junhua/A-5774-2009; Chen, Yulong/MVX-5272-2025; Shao,",,1043-6618,,210.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001446517100015,From Words to Meaning: Interpreting the Topics of Historical Texts Using,"Kuznetsov, A","Kuznetsov, Aleksey",ISTORIYA-ELEKTRONNYI NAUCHNO-OBRAZOVATELNYI ZHURNAL,2025,,,,,10.18254/S207987840033837-9,,,,,338379,,,,,12,"Kuznetsov, Alexey/0000-0003-4755-250X",,,2,J,,,2079-8784,,15.0,,True,,,董恒清,2026-05-25,initial
WOS:001436644700001,The effectiveness of large language models with RAG for auto-annotating,"Kainer, D","Kainer, David",BIOLOGY METHODS & PROTOCOLS,2025,,,,,10.1093/biomethods/bpaf016,,,,,bpaf016,,,2396-8923,,1,"Kainer, David/0000-0001-7271-4676",MAR 4,40040835.0,,J,"Kainer, David/JEF-3893-2023",,,,10.0,,True,,,董恒清,2026-05-25,initial
WOS:001626405500001,Leveraging generative AI powered rubric-indexed feedback as a formative,"Pan, Y","Pan, Yu",DISCOVER COMPUTING,2025,,,,,10.1007/s10791-025-09830-9,,,,,284,,,2948-2992,,1,"Pan, Yu/0000-0001-9170-1192",NOV 29,,,J,,,2948-2984,,28.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001556116800001,An Investigation Into Value Misalignment in LLM-Generated Texts for,"Bu, F","Bu, Fan",IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTATIONAL INTELLIGENCE,2025,,,,,10.1109/TETCI.2025.3597289,,,,,,,AUG 2025,,,,"Wang, Siyi/0000-0002-2731-3176; Liu, Ziyao/0000-0003-4060-0839; BU,",2025 AUG 20,,,J,"; Wang, Zheng/NES-6407-2025",,2471-285X,,,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001654734800001,A Museum artifact classification model based on cross-modal attention,"Lu, Y","Lu, Ying",SCIENTIFIC REPORTS,2025,,,,,10.1038/s41598-025-29671-2,,,,,298,,,,,1,"Yuan, Chongxin/0000-0002-7723-8602",DEC 18,41413412.0,,J,,,2045-2322,,16.0,,False,E4,Excluded by E4 rule,董恒清,2026-05-25,initial
WOS:001578143800001,Discursively negotiating AI: A social representation theory approach to,"Mangiò, F","Mangio, Federico",TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,2025,,,,,10.1016/j.techfore.2025.124352,,,,,124352,,SEP 2025,1873-5509,,,"Mangiò, Federico/0000-0003-3997-4956",DEC,,,J,"Wassler, Philipp/Q-1958-2019",,0040-1625,,221.0,,True,,,董恒清,2026-05-25,initial
WOS:001264372200005,Can Generative AI improve social science?,"Bail, CA","Bail, Christopher A.",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF,2024,,,,,10.1073/pnas.2314021121,,,,,e2314021121,,,1091-6490,,21,,MAY 21,38722813.0,,J,,,0027-8424,,121.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001515007000001,Tailoring Scientific Knowledge: How Generative AI Personalizes Academic,"Kaminska, AM","Kaminska, Anna Malgorzata",PUBLICATIONS,2025,,,,,10.3390/publications13020018,,,,,18,,,2304-6775,,2,"Kamińska, Anna Małgorzata/0000-0001-5411-5426",APR 2,,,J,,,,,13.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001343170700001,ChatGPT as a Digital Assistant for Archaeology: Insights from the Smart,"Ciccone, G","Ciccone, Gabriele",HERITAGE,2024,,,,,10.3390/heritage7100256,,,,,,5428,,,5445,10,"Ciccone, Gabriele/0000-0002-4341-9296",OCT,,,J,"Ciccone, Gabriele/ODN-0313-2025",,2571-9408,,7.0,,True,,,董恒清,2026-05-25,initial
WOS:001587521000023,Multi-agent collaborative pathways for Chinese traditional architectural,"Lu, Y","Lu, Yi",SCIENTIFIC REPORTS,2025,,,,,10.1038/s41598-025-18130-7,,,,,34596,,,,,1,,OCT 3,41044324.0,,J,,,2045-2322,,15.0,,True,,,董恒清,2026-05-25,initial
WOS:001650673700001,Knowledge Graphs vs. Large Language Models: Competitors or Partners in,"Vasic, I","Vasic, Iva",ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,2025,,,,,10.1145/3756016,,,,,61,,,1556-4711,,4,,DEC,,,J,"Pierdicca, Roberto/AAH-9635-2020; Quattrini, Ramona/B-6754-2013; Fill,",SI,1556-4673,,18.0,,True,,,董恒清,2026-05-25,initial
WOS:001531253300002,Content moderation by LLM: from accuracy to legitimacy,"Huang, T","Huang, Tao",ARTIFICIAL INTELLIGENCE REVIEW,2025,,,,,10.1007/s10462-025-11328-1,,,,,320,,,1573-7462,,10,"Huang, Tao/0009-0008-3571-4333",JUL 19,,,J,,,0269-2821,,58.0,,True,,,董恒清,2026-05-25,initial
WOS:001040685700001,Hello GPT! Goodbye home examination? An exploratory study of AI chatbots,"Farazouli, A","Farazouli, Alexandra",ASSESSMENT & EVALUATION IN HIGHER EDUCATION,2024,,,,,10.1080/02602938.2023.2241676,,,,,,363,JUL 2023,1469-297X,375,3,"McGrath, Cormac/0000-0002-8215-3646; Cerratto Pargman,",APR 2,,,J,"McGrath, Cormac/H-8935-2019; Farazouli, Alexana/HME-1464-2023",,0260-2938,,49.0,,True,,,董恒清,2026-05-25,initial
WOS:001488300900007,Potential Societal Biases of ChatGPT in Higher Education: A Scoping,"Li, M","Li, Ming",OPEN PRAXIS,2025,,,,,10.55982/openpraxis.17.1.750,,,,,,79,,,94,1,"Cheng, Fei/0000-0001-5161-0544; Yamamoto, Beverley/0000-0003-1791-6827;",,,,J,"; CHEN, Lilan/KWT-8951-2024; Enkhtur, Ariunaa/HHZ-9126-2022",,2304-070X,,17.0,,True,,,董恒清,2026-05-25,initial
WOS:001548430900001,Systematic analysis of hepatotoxicity: combining literature mining and,"Bauer, C","Bauer, Chris",FRONTIERS IN ARTIFICIAL INTELLIGENCE,2025,,,,,10.3389/frai.2025.1561292,,,,,1561292,,,2624-8212,,,,JUL 21,40791312.0,,J,,,,,8.0,,False,E4,Excluded by E4 rule,董恒清,2026-05-25,initial
WOS:001617113600001,Relational dynamics at the intersection of technology and higher,"Encheva, A","Encheva, Ani",LEARNING MEDIA AND TECHNOLOGY,2025,,,,,10.1080/17439884.2025.2578625,,,,,,,NOV 2025,1743-9892,,,"Nguyen, Dennis/0000-0001-6982-775X; van Es, Karin/0000-0001-5184-8640;",2025 NOV 19,,,J,,,1743-9884,,,,True,,,董恒清,2026-05-25,initial
WOS:001122891200001,Educational data augmentation in physics education research using,"Kieser, F","Kieser, Fabian",PHYSICAL REVIEW PHYSICS EDUCATION RESEARCH,2023,,,,,10.1103/PhysRevPhysEducRes.19.020150,,,,,020150,,,,,2,"Küchemann, Stefan/0000-0003-2729-1592; Kuhn, Jochen/0000-0002-6985-3218;",OCT 25,,,J,"Küchemann, Stefan/KWT-6140-2024; Kuhn, Jochen/K-4031-2014; Wulff,",,2469-9896,,19.0,,True,,,董恒清,2026-05-25,initial
WOS:001638828500001,The Impact of AI-Generated Li Ethnic Cultural and Creative Products on,"Li, GM","Li, Guoming",JOURNAL OF INFORMATION & KNOWLEDGE MANAGEMENT,2025,,,,,10.1142/S021964922550131X,,,,,2550131,,DEC 2025,1793-6926,,,"Kaewbucha, Manus/0009-0002-4419-5922; Dowduen,",2025 DEC 12,,,J,"; Li, Guoming/S-7047-2019",,0219-6492,,,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001444164000001,Generative AI in Education: Perspectives Through an Academic Lens,"întorsureanu, I","Intorsureanu, Iulian",ELECTRONICS,2025,,,,,10.3390/electronics14051053,,,,,1053,,,,,5,"Bara, Adela/0000-0002-0961-352X; Vespan, Dragos",MAR,,,J,"Bara, Adela/AAF-1472-2019; Vespan, Dragos Marcel/J-2784-2013; Oprea,",,2079-9292,,14.0,,False,E3,Excluded by E3 rule,董恒清,2026-05-25,initial
WOS:001444355800001,CATS: cultural-heritage classification using LLMs and distribute model,"Hwang, H","Hwang, Hyerin",NPJ HERITAGE SCIENCE,2025,,,,,10.1038/s40494-025-01621-1,,,,,76,,,3059-3220,,1,"Lee, Jae-Ho/0000-0001-6773-9350",MAR 13,,,J,,,,,13.0,,True,,,董恒清,2026-05-25,initial
WOS:001646475400001,Preserving Culinary Heritage Through AI: Sustainable Digitisation of,"Krol, K","Krol, Karol",PUBLICATIONS,2025,,,,,10.3390/publications13040060,,,,,60,,,2304-6775,,4,"Król, Karol/0000-0003-0534-8471",NOV 20,,,J,"Król, Karol/AAA-6403-2020",,,,13.0,,False,E3,Excluded by E3 rule,董恒清,2026-05-25,initial
WOS:001301585100001,The transformative potential of Generative Artificial Intelligence,"Cano-Marin, E","Cano-Marin, Enrique",ESIC MARKET,2024,,,,,10.7200/esicm.55.333,,,,,e333,,,1989-3574,,2,"Caño Marín, Enrique/0000-0002-7948-1657",MAY-AUG,,,J,"Caño Marín, Enrique/GZM-2612-2022",,0212-1867,,55.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001376556300002,"The Impact of Debate Lessons, Powered by Generative AI, on Student","Yongzhi, S","Yongzhi, Seow",IAFOR JOURNAL OF EDUCATION,2024,,,,,,,,,,,,,2187-0594,,3,,,,,J,,,,,12.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001180043200007,Research on Embroidery Image Restoration Based on Improved Deep,"Liu, YX",Liu Yixuan,LASER & OPTOELECTRONICS PROGRESS,2023,,,,,10.3788/LOP223060,,,,,,,,,,20,,OCT,,,J,,,1006-4125,,60.0,,True,,,董恒清,2026-05-25,initial
WOS:001470676500001,Unlocking ancient wisdom with modern tools: A new approach to the,"Zhao, YY","Zhao, YueYan",JOURNAL OF ACADEMIC LIBRARIANSHIP,2025,,,,,10.1016/j.acalib.2025.103055,,,,,103055,,APR 2025,1879-1999,,3,,MAY,,,J,,,0099-1333,,51.0,,True,,,董恒清,2026-05-25,initial
WOS:001597792800001,Automatic synthesis of econometric empirical research results using,"Guo, ZT","Guo, Zitong",TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,2026,,,,,10.1016/j.techfore.2025.124370,,,,,124370,,OCT 2025,1873-5509,,,"Guo, Zitong/0009-0004-4197-6349",JAN,,,J,,,0040-1625,,222.0,,True,,,董恒清,2026-05-25,initial
WOS:001527428100001,"Generative AI in Marketing: Foundations, Trends, and Future Research","Prasanna, A","Prasanna, Akshara",HUMAN BEHAVIOR AND EMERGING TECHNOLOGIES,2025,,,,,10.1155/hbe2/5542513,,,,,5542513,,,2578-1863,,1,"Kushwaha, Bijay Prasad/0000-0001-5086-3400; Prasanna,",,,,J,"Kushwaha, Bijay Prasad/ADC-7017-2022; P, Akshara/IXD-2483-2023",,,,2025.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001604889900001,Enhancing Youth Engagement in Intangible Cultural Heritage through,"Chai, YC","Chai, Yichen",INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,2025,,,,,10.1080/10447318.2025.2554298,,,,,,,OCT 2025,1532-7590,,,"Duh, Henry/0000-0003-4808-6109",2025 OCT 30,,,J,"Duh, Henry/G-3220-2010",,1044-7318,,,,False,E3,Excluded by E3 rule,董恒清,2026-05-25,initial
WOS:001653310200001,CalliFormer: a structure-aware transformer for Chinese calligraphy,"Zhou, L","Zhou, Li",SCIENTIFIC REPORTS,2025,,,,,10.1038/s41598-025-29262-1,,,,,28,,,,,1,,DEC 11,41381580.0,,J,"Qi, Meng/GVT-9926-2022",,2045-2322,,16.0,,True,,,董恒清,2026-05-25,initial
WOS:001641234900002,Leveraging multimodal large language models to extract mechanistic,"Popova, E","Popova, Elizaveta",MACHINE LEARNING WITH APPLICATIONS,2026,,,,,10.1016/j.mlwa.2025.100816,,,,,100816,,DEC 2025,2666-8270,,,"Babaiha, Negin Sadat/0009-0002-7821-372X;",MAR,,,J,"; Jacob, Marc/AAS-1915-2021",,,,23.0,,True,,,董恒清,2026-05-25,initial
WOS:001535464800001,Physically Informed Synthetic Data Generation and U-Net Generative,"Salmeron, JL","Salmeron, Jose L.",MATHEMATICS,2025,,,,,10.3390/math13142304,,,,,2304,,,2227-7390,,14,"Fernández Palop, Eva/0009-0008-4594-1898;",JUL 18,,,J,"Fernández Palop, Eva/LVS-5944-2024; Salmeron, Jose L./GVR-9588-2022",,,,13.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:000834155800019,RETRACTED: Extraction of Intangible Cultural Heritage Visual Elements by,"Bu, XW","Bu, Xiangwei",COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE,2022,,,,,10.1155/2022/3242960,,,,,3242960,,,1687-5273,,,,JUN 20,35769282.0,,J,"Bu, Xiangwei/ABA-5199-2020",,1687-5265,,2022.0,,True,,,董恒清,2026-05-25,initial
WOS:001593455300001,Applied with Caution: Extreme-Scenario Testing Reveals Significant Risks,"Liu, H","Liu, Hua",APPLIED SCIENCES-BASEL,2025,,,,,10.3390/app151910696,,,,,10696,,,2076-3417,,19,"Dai, Ling/0009-0006-8384-4664; Jiang, Haozhe/0000-0002-7870-0993",OCT 3,,,J,"; Jiang, Haozhe/AAN-9292-2021",,,,15.0,,True,,,董恒清,2026-05-25,initial
WOS:001668895300001,SKiM-GPT: combining biomedical literature-based discovery with large,"Freeman, J","Freeman, Jack",BMC BIOINFORMATICS,2025,,,,,10.1186/s12859-025-06350-7,,,,,16,,,,,1,,DEC 17,41408154.0,,J,"Moore, Bethany/OZF-6382-2025; Mohanty, Chitrasen/KOC-3704-2024",,1471-2105,,27.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001540772900001,Generative AI Governance Model in Educational Research,"Pinho, I","Pinho, Isabel",FRONTIERS IN EDUCATION,2025,,,,,10.3389/feduc.2025.1594343,,,,,1594343,,,2504-284X,,,"Pinho, Isabel/0000-0003-1714-8979",JUL 10,,,J,"Costa, António/PBW-2662-2025; Pinho, Isabel/C-9745-2010",,,,10.0,,True,,,董恒清,2026-05-25,initial
WOS:001391147000001,Generative AI for corpus approaches to discourse studies: A critical,"Curry, N","Curry, Niall",APPLIED CORPUS LINGUISTICS,2024,,,,,10.1016/j.acorp.2023.100082,,,,,100082,,,2666-7991,,1,"Curry, Niall/0000-0002-4471-6794; Brookes, Gavin/0000-0003-0726-2559",APR,,,J,"Curry, Niall/NBX-7810-2025",,,,4.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001436236700010,Generative adversarial network application for cartographic heritage,"Kersapati, MI","Kersapati, Muhamad Iko",NPJ HERITAGE SCIENCE,2025,,,,,10.1038/s40494-025-01611-3,,,,,56,,,3059-3220,,1,"Kersapati, Muhamad Iko/0000-0003-1283-4056;",MAR 1,,,J,"Kersapati, Muhamad Iko/JWO-2234-2024; Setiadi, Hafid/NUP-5374-2025",,,,13.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001530799200028,Integrating AI-generated content tools in higher education: a,"Zhang, Y","Zhang, Yan",SCIENTIFIC REPORTS,2025,,,,,10.1038/s41598-025-10941-y,,,,,25802,,,,,1,,JUL 16,40670544.0,,J,,,2045-2322,,15.0,,True,,,董恒清,2026-05-25,initial
WOS:001234993500001,HiStyle: Reinventing historic portraits via 3D generative model,"Chen, Z","Chen, Zhuo",DISPLAYS,2024,,,,,10.1016/j.displa.2024.102725,,,,,102725,,APR 2024,1872-7387,,,,JUL,,,J,"Li, Zhu/AAD-8182-2021; Yan, Yichao/ADT-5511-2022",,0141-9382,,83.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001074493700001,Children of AI: A Protocol for Managing the Born-Digital Ephemera,"Spennemann, DHR","Spennemann, Dirk H. R.",PUBLICATIONS,2023,,,,,10.3390/publications11030045,,,,,45,,,2304-6775,,3,"Spennemann, Dirk/0000-0003-2639-7950",SEP,,,J,"Spennemann, Dirk/J-4199-2016",,,,11.0,,True,,,董恒清,2026-05-25,initial
WOS:001552001300014,LYRICEL: Knowledge Graphs Combined With Large Language Models and,"Panagoulias, DP","Panagoulias, Dimitrios P.",IEEE ACCESS,2025,,,,,10.1109/ACCESS.2025.3597213,,,,,,141985,,,142006,,"Panagoulias, Dimitris/0000-0002-9421-141X; Tsihrintzis,",,,,J,"Chrysafiadi, Konstantina/AAR-2315-2021; Sotiropoulos,",,2169-3536,,13.0,,True,,,董恒清,2026-05-25,initial
WOS:001321132900001,A Chinese perspective on artificial intelligence generated content and,"Lu, Y","Lu, Yao",INFORMACIOS TARSADALOM,2024,,,,,10.22503/inftars.XXIV.2024.2.8,,,,,,129,,,142,2,"Lu, Yao/0000-0001-9277-5732",,,,J,"Lu, Yao/JDD-0841-2023",,1587-8694,,24.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001341349500001,Predicting the sample size of randomized controlled trials using natural,"Windisch, P","Windisch, Paul",JAMIA OPEN,2024,,,,,10.1093/jamiaopen/ooae116,,,,,ooae116,,,2574-2531,,4,"Windisch, Paul/0000-0003-1040-4888; Foerster,",OCT 25,39464799.0,,J,"Windisch, Paul/JVD-5169-2023; Dennstädt, Fabio/AGE-9074-2022; Schroeder,",,,,7.0,,True,,,董恒清,2026-05-25,initial
WOS:001532712300001,Responsible use of AI in social science research,"Ivanov, S","Ivanov, Stanislav",SERVICE INDUSTRIES JOURNAL,2025,,,,,10.1080/02642069.2025.2537115,,,,,,,JUL 2025,1743-9507,,,,2025 JUL 23,,,J,"Ivanov, Stanislav/D-7692-2012",,0264-2069,,,,True,,,董恒清,2026-05-25,initial
WOS:001497047500001,TrialSieve: A Comprehensive Biomedical Information Extraction Framework,"Kartchner, D","Kartchner, David",BIOENGINEERING-BASEL,2025,,,,,10.3390/bioengineering12050486,,,,,486,,,2306-5354,,5,"Kartchner, David/0000-0003-1937-1840; Ramalingam,",MAY 2,40428107.0,,J,,,,,12.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001607345700003,Students' attitudes toward generative artificial intelligence in,"Liang, HY","Liang, Haiying",INTERNATIONAL JOURNAL OF EDUCATIONAL DEVELOPMENT,2025,,,,,10.1016/j.ijedudev.2025.103434,,,,,103434,,OCT 2025,1873-4871,,,"Liang, Haiying/0000-0002-8601-3763",NOV,,,J,,,0738-0593,,119.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001516018700001,Exploring the Merchera Ethnic Group Through ChatGPT: The Risks of,"Oronoz, S","Oronoz, Soraya",INFORMATION,2025,,,,,10.3390/info16060461,,,,,461,,,2078-2489,,6,"Oronoz Rodríguez, Soraya/0000-0002-9355-3899; Peña Martínez,",MAY 30,,,J,"; Peña Martínez, Juan/Y-7654-2018",,,,16.0,,False,E3,Excluded by E3 rule,董恒清,2026-05-25,initial
WOS:001570062500001,Sustainable Design on Intangible Cultural Heritage: Miao Embroidery,"Yu, QW","Yu, Qianwen",SUSTAINABILITY,2025,,,,,10.3390/su17177657,,,,,7657,,,2071-1050,,17,,AUG 25,,,J,"wang, jianping/HLP-8210-2023",,,,17.0,,True,,,董恒清,2026-05-25,initial
WOS:001062657100001,Utilizing Text Mining for Labeling Training Models from Futures Corpus,"Chou, HM","Chou, Hsien-Ming",APPLIED SCIENCES-BASEL,2023,,,,,10.3390/app13179622,,,,,9622,,,2076-3417,,17,"Chou, Hsien-Ming/0000-0002-4622-5032",SEP,,,J,"Chou, Hsien-Ming/AAM-2445-2020",,,,13.0,,False,E2,Excluded by E2 rule,董恒清,2026-05-25,initial
WOS:001444383700001,Terahertz image super-resolution restoration using a,"Wu, H","Wu, Heng",OPTICS AND LASERS IN ENGINEERING,2025,,,,,10.1016/j.optlaseng.2025.108931,,,,,108931,,MAR 2025,1873-0302,,,"Wu, Heng/0000-0003-0832-2218; He, Chunhua/0000-0003-0826-3596;",JUN,,,J,"Wu, Heng/AAE-3471-2019; Xiao, Huapan/J-5153-2016; Luo,",,0143-8166,,189.0,,True,,,董恒清,2026-05-25,initial
WOS:001154709100003,Dunhuang murals image restoration method based on generative adversarial,"Ren, H","Ren, Hui",HERITAGE SCIENCE,2024,,,,,10.1186/s40494-024-01159-8,,,,,39,,,,,1,,FEB 2,,,J,"sun, ke/JBR-9935-2023",,2050-7445,,12.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001084687100001,Design and Development of an Intelligent Rendering System for New Year's,"Guo, ZZ","Guo, Zaozao",INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS,2023,,,,,,,,,,,850,,2156-5570,861,9,,SEP,,,J,,,2158-107X,,14.0,,True,,,董恒清,2026-05-25,initial
WOS:001327710100002,"Generative-AI, a Learning Assistant? Factors Influencing Higher-Ed","Kanont, K","Kanont, Kraisila",ELECTRONIC JOURNAL OF E-LEARNING,2024,,,,,10.34190/ejel.22.6.3196,,,,,,18,,,33,6,"Wisnuwong, Suchaya/0009-0007-2724-9964; Kanont,",MAY,,,J,"; Pingmuang, Pawarit/NIS-7522-2025; Khlaisang, Jintavee/GLR-0565-2022;",SI,1479-4403,,22.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001579793500001,"ChatCAS: A Multimodal Ceramic Multi-Agent Studio for Consultation, Image","Han, YY","Han, Yongyi",ELECTRONICS,2025,,,,,10.3390/electronics14183735,,,,,3735,,,,,18,"Liu, Diandong/0009-0003-7094-2511; sun, lianshan/0000-0002-5738-7862;",SEP 21,,,J,"; ren, yi/MGA-3759-2025; Lei, Zepeng/GPT-4599-2022; li,",,2079-9292,,14.0,,True,,,董恒清,2026-05-25,initial
WOS:001549800800006,The Optimization of Illustration Design in Cultural and Creative,"Niu, MH","Niu, Minghui",IEEE ACCESS,2025,,,,,10.1109/ACCESS.2025.3583506,,,,,,114746,,,114755,,,,,,J,,,2169-3536,,13.0,,True,,,董恒清,2026-05-25,initial
WOS:001339465800001,The effectiveness of Gen AI in assisting students' knowledge,"He, S","He, Shuai",INTERACTIVE LEARNING ENVIRONMENTS,2024,,,,,10.1080/10494820.2024.2415444,,,,,,7041,OCT 2024,1744-5191,7062,10,"Lu, Yu/0009-0000-1243-3389",NOV 25,,,J,,,1049-4820,,32.0,,True,,,董恒清,2026-05-25,initial
WOS:001562236300001,Large language models can extract metadata for annotation of human,"Turner, MD","Turner, Matthew D.",FRONTIERS IN NEUROINFORMATICS,2025,,,,,10.3389/fninf.2025.1609077,,,,,1609077,,,1662-5196,,,"Golnari, Peam/0000-0002-2154-1645; Appaji, Abhishek/0000-0002-1978-6037",AUG 20,40909182.0,,J,"Golnari, Peam/B-6300-2011; Appaji, Abhishek/M-8518-2016",,,,19.0,,True,,,董恒清,2026-05-25,initial
WOS:001256826000001,Exploring the Dual Potential of Artificial Intelligence-Generated,"Wang, YL","Wang, Yali",SUSTAINABILITY,2024,,,,,10.3390/su16125173,,,,,5173,,,2071-1050,,12,"Gan, Yan/0000-0003-4819-4599",JUN,,,J,,,,,16.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001497324300001,Generative Multimodal Models for Social Science: An Application with,"Law, T","Law, Tina",SOCIOLOGICAL METHODS & RESEARCH,2025,,,,,10.1177/00491241251339673,,,,,,889,MAY 2025,1552-8294,932,3,"Law, Tina/0000-0001-7631-6763; Roberto, Elizabeth/0000-0001-7667-6953",AUG,,,J,,SI,0049-1241,,54.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001574528400001,AIGC empowers the sustainable development of traditional Chinese,"Chen, DL","Chen, Daoling",DIGITAL SCHOLARSHIP IN THE HUMANITIES,2025,,,,,10.1093/llc/fqaf053,,,,,,1115,SEP 2025,2055-768X,1125,4,,DEC,,,J,,,2055-7671,,40.0,,True,,,董恒清,2026-05-25,initial
WOS:001508564100001,"Creating, anonymizing and evaluating the first medical language model","Verkijk, S","Verkijk, Stella",ARTIFICIAL INTELLIGENCE IN MEDICINE,2025,,,,,10.1016/j.artmed.2025.103148,,,,,103148,,JUN 2025,1873-2860,,,"Verkijk, Stella/0009-0000-9263-2272; Vossen, Piek/0000-0002-6238-5941",SEP,40472749.0,,J,,,0933-3657,,167.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:000963639900006,Restoration of damaged artworks based on a generative adversarial,"Kumar, P","Kumar, Praveen",MULTIMEDIA TOOLS AND APPLICATIONS,2023,,,,,10.1007/s11042-023-15222-2,,,,,,40967,APR 2023,1573-7721,40985,26,"Gupta, Varun/0000-0002-2633-5920",NOV,,,J,"Gupta, Varun/KFA-9728-2024",,1380-7501,,82.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001335433500001,AI-driven education: a comparative study on ChatGPT and Bard in supply,"Raman, R","Raman, Raghu",COGENT BUSINESS & MANAGEMENT,2024,,,,,10.1080/23311975.2024.2412742,,,,,2412742,,,,,1,"Nedungadi, Prema/0000-0001-8774-3541; Sreenivasan,",DEC 31,,,J,"Nedungadi, Prema/ODJ-1776-2025; Gunasekaran, Angappa/AEZ-0121-2022;",,2331-1975,,11.0,,True,,,董恒清,2026-05-25,initial
