UT,TI,AU,PY,SO,DE,AB,DI
WOS:001445324500001,Extracting Financial Data from Unstructured Sources: Leveraging Large,"Li, HX",2023,JOURNAL OF INFORMATION SYSTEMS,,,10.2308/ISYS-2023-047
WOS:001631456700001,Structuring Macau's Criminal Court Judgments with Large Language Models:,"Liu, JH",2025,ASIAN JOURNAL OF CRIMINOLOGY,,,10.1007/s11417-025-09475-z
WOS:001671676800001,Evaluation of Large Language Model Performance in Assessing Health,"Dun, C",2025,JOURNAL OF HEALTH ECONOMICS AND OUTCOMES RESEARCH,,,10.36469/jheor.2025.145215
WOS:001529254900005,A social media data analysis of general and educational use of ChatGPT:,"Lampropoulos, G",2025,EDUCATIONAL TECHNOLOGY & SOCIETY,,,10.30191/ETS.202507_28(3).SP05
WOS:001526489200001,AI's ability to interpret unlabeled anatomy images and supplement,"Hyeamang, LJ",2025,ANATOMICAL SCIENCES EDUCATION,,,10.1002/ase.70074
WOS:001511019400001,A one-shot automated framework based on large language model and AutoML:,"Hu, L",2025,SEPARATION AND PURIFICATION TECHNOLOGY,,,10.1016/j.seppur.2025.133487
WOS:001590400700009,PromptMaster: Engineering Essentials and Basic NLP Tools,"Mishrra, S",2025,COMPUTACION Y SISTEMAS,,,10.13053/CyS-29-3-5916
WOS:001347862000001,Can ChatGPT Provide Useful Guidance to Assess the Current State of and,"Wieczorek, M",2025,JOURNAL OF AGING & SOCIAL POLICY,,,10.1080/08959420.2024.2422669
WOS:001605870400025,DCAF-GAN: Enhancing historical landscape restoration with dual-branch,"Fang, L",2025,PLOS ONE,,,10.1371/journal.pone.0334532
WOS:001654992300004,Benchmarking large language models for geolocating colonial Virginia,"Mioduski, R",2025,JOURNAL OF SPATIAL INFORMATION SCIENCE,,,10.5311/JOSIS.2025.31.502
WOS:001266524800001,Textual similarity between firm and government: Measurement and pricing,"Liu, YL",2024,ECONOMICS LETTERS,,,10.1016/j.econlet.2024.111823
WOS:001257505600003,ArchGPT: harnessing large language models for supporting renovation and,"Zhang, JX",2024,HERITAGE SCIENCE,,,10.1186/s40494-024-01334-x
WOS:001498080800014,"Proficiency, Clarity, and Objectivity of Large Language Models Versus","Bragazzi, NL",2025,JMIR FORMATIVE RESEARCH,,,10.2196/56126
WOS:001514338100001,In search of humanness: professional identities of qualitative research,"Li, BX",2025,LEARNING MEDIA AND TECHNOLOGY,,,10.1080/17439884.2025.2521547
WOS:001497314400001,Prompting the Machine: Introducing an LLM Data Extraction Method for,"Foisy, LOM",2025,SOCIAL SCIENCE COMPUTER REVIEW,,,10.1177/08944393251344865
WOS:001577431300004,"THEORIZING THE GHIBLI EFFECT: A CRITIQUE OF AI, AESTHETIC THEFT AND THE","Das, A",2025,JOURNAL OF DHARMA,,,
WOS:001619206600001,"Web scraping for research: Legal, ethical, institutional, and scientific","Brown, MA",2025,BIG DATA & SOCIETY,,,10.1177/20539517251381686
WOS:001501118900008,The european 'post-digital' public sphere: foundations of an emerging,"Pane, S",2025,METHAODOS-REVISTA DE CIENCIAS SOCIALES,,,10.17502/mrcs.v13i1.866
WOS:001593451900001,Discovering hyponymic knowledge patterns in English,"San Martín, A",2025,TERMINOLOGY,,,10.1075/term.25022.san
WOS:001351412700001,An Accurate and Efficient Approach to Knowledge Extraction from,"Ivanisenko, TV",2024,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,,,10.3390/ijms252111811
WOS:001601463700001,AI-Enabled Cultural Experiences: A Comparison of Narrative Creation,"Antoniou, A",2025,ELECTRONICS,,,10.3390/electronics14204043
WOS:001361064600008,COMPUTATIONAL CREATIVITY WITHOUT COMPUTERS,"Roncoroni, U",2024,JOURNAL OF SCIENCE AND TECHNOLOGY OF THE ARTS,,,10.34632/jsta.2024.15648
WOS:001492129400013,An Interactive Framework for Personalized Navigation Based on Metacosmic,"Guo, H",2025,IEEE ACCESS,,,10.1109/ACCESS.2025.3565359
WOS:001179021300001,MuralDiff: Diffusion for Ancient Murals Restoration on Large-Scale,"Xu, ZS",2024,IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTATIONAL INTELLIGENCE,,,10.1109/TETCI.2024.3359038
WOS:001588155200004,CEO values and corporate performance: A text mining and LLM-based,"Oleksy, P",2025,ECONOMICS AND BUSINESS REVIEW,,,10.18559/ebr.2025.3.2172
WOS:001356688800003,Measuring LLM Self-consistency: Unknown Unknowns in Knowing Machines,"Jacomy, M",2024,SOCIOLOGICA-INTERNATIONAL JOURNAL FOR SOCIOLOGICAL DEBATE,,,10.6092/issn.1971-8853/19488
WOS:001480018600001,Rapid Adaptation of Chemical Named Entity Recognition Using Few-Shot,"Zhang, Y",2025,JOURNAL OF CHEMICAL INFORMATION AND MODELING,,,10.1021/acs.jcim.5c00248
WOS:001458241500001,Scaling hermeneutics: a guide to qualitative coding with LLMs for,"Dunivin, ZO",2025,EPJ DATA SCIENCE,,,10.1140/epjds/s13688-025-00548-8
WOS:001531345900001,Enhancing Critical Thinking Skills in ChatGPT-Human Interaction: A,"Raitskaya, L",2025,JOURNAL OF LANGUAGE AND EDUCATION,,,10.17323/jle.2025.27387
WOS:001562903000001,AIlantern: an AI-assisted workflow for designing and crafting intangible,"Zhou, CY",2025,JOURNAL OF ENGINEERING DESIGN,,,10.1080/09544828.2025.2552097
WOS:001429256100001,Large Language Models meet moral values: A comprehensive assessment of,"Bulla, L",2025,COMPUTERS IN HUMAN BEHAVIOR REPORTS,,,10.1016/j.chbr.2025.100609
WOS:001344973800001,Application of Gan Embroidery (Yuzhang Embroidery) in Neo-Chinese-style,"Lin, YP",2024,FIBRES & TEXTILES IN EASTERN EUROPE,,,10.2478/ftee-2024-0028
WOS:001631714500002,A Method for Extracting Dissatisfaction Entities in the Pharmaceutical,"Ota, K",2025,EAI ENDORSED TRANSACTIONS ON SCALABLE INFORMATION SYSTEMS,,,10.4108/eetsis.10511
WOS:001011691000001,Similarity evaluation of graphic design based on deep visual saliency,"Liu, ZH",2023,JOURNAL OF SUPERCOMPUTING,,,10.1007/s11227-023-05468-w
WOS:001623599100001,A Qualitative Approach to EFL Postgraduates' GenAI-Assisted Research,"Fuentes, AC",2025,EDUCATION SCIENCES,,,10.3390/educsci15111521
WOS:001580092500001,Enhancing Ancient Ceramic Knowledge Services: A Question Answering,"Chen, Z",2025,INFORMATION,,,10.3390/info16090792
WOS:001475083000001,Quantifying Relational Exploration in Cultural Heritage Knowledge Graphs,"Maree, M",2025,DATA,,,10.3390/data10040052
WOS:001393838600001,Advancing a Vision Foundation Model for Ming-Style Furniture Image,"Wan, YT",2025,SENSORS,,,10.3390/s25010096
WOS:001034886600001,Open Book Exams and Flexible Grading Systems: Post-COVID University,"Kang, D",2023,BEHAVIORAL SCIENCES,,,10.3390/bs13070607
WOS:001246293600001,Fine-tuning large language models for chemical text mining,"Zhang, W",2024,CHEMICAL SCIENCE,,,10.1039/d4sc00924j
WOS:001564960500001,Transformer-Based Architectures Versus Large Language Models in Semantic,"Kuculo, T",2025,SEMANTIC WEB,,,10.1177/22104968251363759
WOS:001569559300001,Automatic Information Extraction from Scientific Publications Based on,"Feldhoff, K",2025,APPLIED SCIENCES-BASEL,,,10.3390/app15179331
WOS:001651770700001,Augmenting assessment with AI coding of online student discourse: A,"Misiejuk, K",2024,COMPUTERS AND EDUCATION: ARTIFICIAL INTELLIGENCE,,,10.1016/j.caeai.2024.100216
WOS:001417320300001,A fused large language model for predicting startup success,"Maarouf, A",2025,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,,,10.1016/j.ejor.2024.09.011
WOS:001610252000003,A tutorial on fine-tuning pretrained language models: Applications in,"Wang, Y",2025,BEHAVIOR RESEARCH METHODS,,,10.3758/s13428-025-02868-z
WOS:001528766100001,Research on the Construction of an AI Platform for Haipai New Year,"Zhao, YY",2025,INTERNATIONAL JOURNAL OF GAMING AND COMPUTER-MEDIATED SIMULATIONS,,,10.4018/IJGCMS.383051
WOS:001358601500001,Semantic layout-guided diffusion model for high-fidelity image synthesis,"Yang, R",2025,EXPERT SYSTEMS WITH APPLICATIONS,,,10.1016/j.eswa.2024.125645
WOS:001642164700013,LLM-Integrated VR NPCs to Support Social Presence and Engagement in a,"Nielsen, MB",2025,IEEE TRANSACTIONS ON GAMES,,,10.1109/TG.2025.3619578
WOS:001452089500001,A Comparative Study of Vision Language Models for Italian Cultural,"Vitaloni, C",2025,HERITAGE,,,10.3390/heritage8030095
WOS:001198272000118,Performance of ChatGPT on Chinese Master's Degree Entrance Examination,"Li, KC",2024,PLOS ONE,,,10.1371/journal.pone.0301702
WOS:001435368100001,Developing a decision support system using different classification,"Kumandas, MT",2025,EXPERT SYSTEMS WITH APPLICATIONS,,,10.1016/j.eswa.2025.127042
WOS:001557513600001,NLP-Based Restoration of Damaged Student Essay Archives for Educational,"Olaniyan, J",2025,ELECTRONICS,,,10.3390/electronics14163189
WOS:001579250900004,Cognition-enhanced instruction framework: Accelerating structured,"Zheng, YJ",2025,JOURNAL OF ENERGY CHEMISTRY,,,10.1016/j.jechem.2025.07.056
WOS:001235610800002,ConvSRGAN: super-resolution inpainting of traditional Chinese paintings,"Hu, QY",2024,HERITAGE SCIENCE,,,10.1186/s40494-024-01279-1
WOS:001396680500001,FuncFetch: an LLM-assisted workflow enables mining thousands of,"Smith, N",2025,BIOINFORMATICS,,,10.1093/bioinformatics/btae756
WOS:001634645700005,An LLM-based QA system for Chinese Painting and Calligraphy with,"Wan, J",2025,NPJ HERITAGE SCIENCE,,,10.1038/s40494-025-02219-3
WOS:000980426300001,Enhanced Text-to-Image Synthesis With Self-Supervision,"Tan, YX",2023,IEEE ACCESS,,,10.1109/ACCESS.2023.3268869
WOS:001349557500002,Using large language models to create narrative events,"Bartalesi, V",2024,PEERJ COMPUTER SCIENCE,,,10.7717/peerj-cs.2242
WOS:001606545000001,A guided ungrading example for independent research projects in an,"O'Connell, CS",2025,JOURNAL OF MICROBIOLOGY & BIOLOGY EDUCATION,,,10.1128/jmbe.00175-25
WOS:001348538300001,MultiSentimentArcs: a novel method to measure coherence in multimodal,"Chun, J",2024,FRONTIERS IN COMPUTER SCIENCE,,,10.3389/fcomp.2024.1444549
WOS:001182015400001,From manual to machine: assessing the efficacy of large language models,"Pilny, A",2024,COMMUNICATION RESEARCH REPORTS,,,10.1080/08824096.2024.2327547
WOS:001474514600001,"Multisensory Museums, Hybrid Realities, Narration, and Technological","Pietroni, E",2025,HERITAGE,,,10.3390/heritage8040130
WOS:001375772100049,RaViT-AE: Unsupervised Anomaly Detection for Intelligent Cultural,"Kwon, D",2024,IEEE ACCESS,,,10.1109/ACCESS.2024.3509988
WOS:001393049000073,Text mining of practical disaster reports: Case study on Cascadia,"Lensing, JC",2025,PLOS ONE,,,10.1371/journal.pone.0313259
WOS:001391625300012,Assessing the accuracy and efficiency of Chat GPT-4 Omni (GPT-4o) in,"Meo, AS",2024,SAUDI MEDICAL JOURNAL,,,10.15537/smj.2024.45.12.20240454
WOS:001391207900001,Optimal design of ceramic form combining stable diffusion model and,"Kang, XH",2025,ADVANCED ENGINEERING INFORMATICS,,,10.1016/j.aei.2024.103062
WOS:001651577400024,Examining the relationship between the L2 motivational self system and,"Huang, J",2024,COMPUTERS AND EDUCATION: ARTIFICIAL INTELLIGENCE,,,10.1016/j.caeai.2024.100302
WOS:001363171300013,ChatGPT in higher education: Measurement instruments to assess student,"Köhler, C",2024,CONTEMPORARY EDUCATIONAL TECHNOLOGY,,,10.30935/cedtech/15144
WOS:001587270100050,Navigating the Web of Disinformation and Misinformation: Large Language,"Shah, SB",2025,IEEE ACCESS,,,10.1109/ACCESS.2024.3406644
WOS:001535621500001,Machine Learning in the Design Decision-Making of Traditional Garden,"Yan, LN",2025,BUILDINGS,,,10.3390/buildings15142401
WOS:000443993700018,A multi feature fusion method for reassembly of 3D cultural heritage,"Zhang, YH",2018,JOURNAL OF CULTURAL HERITAGE,,,10.1016/j.culher.2018.03.001
WOS:001453851900001,Empowering Education with Intelligent Systems: Exploring Large Language,"Fragakis, N",2025,ELECTRONICS,,,10.3390/electronics14061210
WOS:001456468900001,Can AI help make California police policy human centered?,"Coleman, CN",2025,AI & SOCIETY,,,10.1007/s00146-025-02298-7
WOS:001588478500001,Integrating critical corpus and AI literacies in applied linguistics: a,"Perez-Paredes, P",2025,COMPUTER ASSISTED LANGUAGE LEARNING,,,10.1080/09588221.2025.2569351
WOS:001427032300001,Evaluating and Advancing Large Language Models for Water Knowledge Tasks,"Xu, BY",2025,ENVIRONMENTAL SCIENCE & TECHNOLOGY LETTERS,,,10.1021/acs.estlett.5c00038
WOS:001465295200001,XunZi-MLLM: a multimodal large language model for ancient text and image,"Zhu, DM",2025,DIGITAL SCHOLARSHIP IN THE HUMANITIES,,,10.1093/llc/fqaf026
WOS:001557612800001,"Language models for drug-drug interactions: current applications,","Al Meslamani, AZ",2025,EXPERT OPINION ON DRUG METABOLISM & TOXICOLOGY,,,10.1080/17425255.2025.2551724
WOS:001391741500001,Realizing Visual Question Answering for Education: GPT-4V as a,"Lee, G",2025,TECHTRENDS,,,10.1007/s11528-024-01035-z
WOS:001594171200003,Academic discourse on ChatGPT in social sciences: A topic modeling and,"Tao, YT",2025,PLOS ONE,,,10.1371/journal.pone.0334331
WOS:001554356100001,Large Language Models can extract morphological data from taxonomic,"Schmidt-Lebuhn, AN",2025,PHYTOKEYS,,,10.3897/phytokeys.261.158396
WOS:001472596600002,GuidePaint: lossless image-guided diffusion model for ancient mural,"Hu, JL",2025,NPJ HERITAGE SCIENCE,,,10.1038/s40494-025-01693-z
WOS:001388484800001,ArtEyer: Enriching GPT-based agents with contextual data visualizations,"Tang, T",2024,VISUAL INFORMATICS,,,10.1016/j.visinf.2024.11.001
WOS:001617754400033,A multi agent classical Chinese translation method based on large,"Lv, WF",2025,SCIENTIFIC REPORTS,,,10.1038/s41598-025-23904-0
WOS:001375735600001,Identification of stone deterioration patterns with large multimodal,"Corradetti, D",2025,JOURNAL OF CULTURAL HERITAGE,,,10.1016/j.culher.2024.11.017
WOS:001639372100001,Deep learning model for Chinese watercolor painting creation,"Qi, L",2025,PEERJ COMPUTER SCIENCE,,,10.7717/peerj-cs.3404
WOS:001497307800001,Using Large Language Models for Qualitative Analysis can Introduce,"Ashwin, J",2025,SOCIOLOGICAL METHODS & RESEARCH,,,10.1177/00491241251338246
WOS:001567026600002,LangBiTe: An open-source platform to automate bias testing of large,"Morales, S",2025,SOFTWAREX,,,10.1016/j.softx.2025.102248
WOS:001472902400021,A thematic analysis of what Australians state would change their minds,"Lee, ASG",2025,SCIENTIFIC REPORTS,,,10.1038/s41598-025-96714-z
WOS:001524467900006,Design optimization of wood-carved window grilles in historical,"Kang, XH",2025,HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS,,,10.1057/s41599-025-05388-5
WOS:001530028500001,Scaling research aim identification: Language models for classifying,"Wu, MJ",2025,JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY,,,10.1002/asi.70004
WOS:001311280900001,Leveraging LLMs for Efficient Topic Reviews,"Gana, B",2024,APPLIED SCIENCES-BASEL,,,10.3390/app14177675
WOS:001591579100002,DiffInpaint: line drawing guided murals restoration with diffusion model,"Tang, X",2026,MEASUREMENT,,,10.1016/j.measurement.2025.119223
WOS:001476180800001,Intelligent Computing Social Modeling and Methodological Innovations in,"Wang, ZY",2025,JOURNAL OF CHINESE POLITICAL SCIENCE,,,10.1007/s11366-025-09917-6
WOS:001599864500010,Comparing spoken discourse marker use in NS and NNS speech: A,"Ahn, S",2025,LINGUISTIC RESEARCH,,,10.17250/khisli.42..202509.010
WOS:001549920500001,Deep learning-based oracle image enhancement and calibration methods,"Qiao, YJ",2025,JOURNAL OF COMPUTATIONAL METHODS IN SCIENCES AND ENGINEERING,,,10.1177/14727978251365056
WOS:001530346300003,"Responses to the Initial Hype: ChatGPT Supporting Teaching, Learning,","Cefa, B",2025,OPEN PRAXIS,,,10.55982/openpraxis.17.2.872
WOS:001355794300001,A corpus-driven comparative analysis of AI in academic discourse:,"Tudino, G",2024,LINGUA,,,10.1016/j.lingua.2024.103838
WOS:001234573700002,Shadows of wisdom: Classifying meta-cognitive and morally grounded,"Stavropoulos, A",2024,BEHAVIOR RESEARCH METHODS,,,10.3758/s13428-024-02441-0
WOS:001206020000002,Using OpenAI's GPT Model to Analyse Open Texts in Educational Research,"González-Mayorga, H",2024,PIXEL-BIT- REVISTA DE MEDIOS Y EDUCACION,,,10.12795/pixelbit.102032
WOS:001558491200001,Intelligent Defect Detection of Ancient City Walls Based on Computer,"Zhang, GP",2025,SENSORS,,,10.3390/s25165042
WOS:001196771600002,A systematic evaluation of text mining methods for short texts: Mapping,"Macanovic, A",2024,BEHAVIOR RESEARCH METHODS,,,10.3758/s13428-024-02381-9
WOS:001710531500001,Good Things Come in Pairs: A Computational Study of Poetic Parallelism,"Cai, ZQ",2025,JOURNAL OF CHINESE LITERATURE AND CULTURE,,,10.1215/23290048-11997474
WOS:001527786400001,Determinants of researchers' intentions to utilize ChatGPT: insights,"Yuceol, N",2025,JOURNAL OF CULTURAL COGNITIVE SCIENCE,,,10.1007/s41809-025-00180-y
WOS:001547513000002,How Well Do Simulated Population Samples with GPT-4 Align with Real,"Ferreira, G",2025,HEALTH DATA SCIENCE,,,10.34133/hds.0284
WOS:001515491200001,Natural Interaction in Virtual Heritage: Enhancing User Experience with,"Sánchez-Berriel, I",2025,ELECTRONICS,,,10.3390/electronics14122478
WOS:000934593600001,"Out of One, Many: Using Language Models to Simulate Human Samples","Argyle, LP",2023,POLITICAL ANALYSIS,,,10.1017/pan.2023.2
WOS:001467090300001,Integrating machine learning and a large language model to construct a,"Zhou, ZP",2025,ACCIDENT ANALYSIS AND PREVENTION,,,10.1016/j.aap.2025.108009
WOS:001651643600021,Empower instructors with actionable insights: Mine and visualize student,"Lin, F",2025,COMPUTERS AND EDUCATION: ARTIFICIAL INTELLIGENCE,,,10.1016/j.caeai.2025.100389
WOS:001489600300004,Database construction and remodeling method on traditional Yi,"Meng, KN",2025,NPJ HERITAGE SCIENCE,,,10.1038/s40494-025-01707-w
WOS:001521527400043,UE-NER-2025: A GPT-Based Approach to Multi-Lingual Named Entity,"Ahmad, M",2025,IEEE ACCESS,,,10.1109/ACCESS.2025.3579289
WOS:001606574300001,The meaning of ecological restoration in Argentina: an analysis of the,"Pérez, DR",2026,RESTORATION ECOLOGY,,,10.1111/rec.70242
WOS:001100141400001,Transparency in research: An analysis of ChatGPT usage acknowledgment by,"Raman, R",2025,ACCOUNTABILITY IN RESEARCH-ETHICS INTEGRITY AND POLICY,,,10.1080/08989621.2023.2273377
WOS:001324228400001,David vs. Goliath: comparing conventional machine learning and a large,"Kieser, F",2024,FRONTIERS IN ARTIFICIAL INTELLIGENCE,,,10.3389/frai.2024.1408817
WOS:001593595200001,Design and Evaluation of Knowledge-Distilled LLM for Improving the,"Hong, Y",2025,ELECTRONICS,,,10.3390/electronics14193860
WOS:001471761600001,Transfer learning for software vulnerability prediction using,"Kalouptsoglou, I",2025,JOURNAL OF SYSTEMS AND SOFTWARE,,,10.1016/j.jss.2025.112448
WOS:001197461600003,A systematic review of Stimulated Recall (SR) in educational research,"Zhai, XS",2024,HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS,,,10.1057/s41599-024-02987-6
WOS:001624080500001,Large Language Models in Bio-Ontology Research: A Review,"Manda, P",2025,BIOENGINEERING-BASEL,,,10.3390/bioengineering12111260
WOS:001624853300001,Redefining Education in the Digital Age: The Role of GPT Models in,"Sangka, KB",2025,HUMAN BEHAVIOR AND EMERGING TECHNOLOGIES,,,10.1155/hbe2/7118205
WOS:001594118500001,"Digital Maktaba project: Toward a metadata-driven, LLM-assisted","El Ganadi, A",2025,INTERNATIONAL JOURNAL ON DIGITAL LIBRARIES,,,10.1007/s00799-025-00432-w
WOS:001466148100001,Affective-Computing-Driven Personalized Display of Cultural Information,"Hu, HM",2025,APPLIED SCIENCES-BASEL,,,10.3390/app15073459
WOS:001031448800001,Decoding Academic Integrity Policies: A Corpus Linguistics Investigation,"Perkins, M",2024,HIGHER EDUCATION POLICY,,,10.1057/s41307-023-00323-2
WOS:001492197000012,Handwritten Text Recognition of Ukrainian Manuscripts in the 21st,"Tikhonov, A",2024,KYIV-MOHYLA HUMANITIES JOURNAL,,,10.18523/2313-4895.11.2024.226-247
WOS:001569961400001,An AI Framework for Unlocking Actionable Insights from Text Reviews: A,"Maksimovic, OM",2025,MATHEMATICS,,,10.3390/math13172701
WOS:001572677200001,Uncovering policy priorities for disability inclusion: NLP and LLM,"Cogburn, D",2025,DATA & POLICY,,,10.1017/dap.2025.10017
WOS:001462119200001,Large corpora and large language models: a replicable method for,"Morin, C",2025,LINGUISTICS VANGUARD,,,10.1515/lingvan-2024-0228
WOS:001317187900040,Text classification models for assessing the completeness of randomized,"Jiang, L",2024,SCIENTIFIC REPORTS,,,10.1038/s41598-024-72130-7
WOS:001512558500003,Osteosarcoma knowledge graph question answering system: deep,"Zhang, LL",2025,INTELLIGENT MEDICINE,,,10.1016/j.imed.2024.12.001
WOS:001582176400017,Digital Revival of Traditional Batik Patterns: Accurate Extraction With,"Wang, XC",2025,IEEE ACCESS,,,10.1109/ACCESS.2025.3607435
WOS:000794293500001,JST-RR Model: Joint Modeling of Ratings and Reviews in Sentiment-Topic,"Liang, Q",2023,TECHNOMETRICS,,,10.1080/00401706.2022.2063187
WOS:001264073100001,Mapping of specialized metabolite terms onto a plant phylogeny using,"Busta, L",2024,PLANT JOURNAL,,,10.1111/tpj.16906
WOS:001472267600001,Applying the curiosity-confidence crank: Building critical thinking in,"Chao, JY",2025,ACTIVE LEARNING IN HIGHER EDUCATION,,,10.1177/14697874251329335
WOS:001352990500003,Tracking the Spread of Pollen on Social Media UsingPollen-Related,"Pérez-Pérez, M",2024,JOURNAL OF MEDICAL INTERNET RESEARCH,,,10.2196/58309
WOS:001580050400001,The Emotional Landscape of Technological Innovation: A Data-Driven Case,"Williams, L",2025,INFORMATICS-BASEL,,,10.3390/informatics12030058
WOS:001114664100001,Evaluating ChatGPT text mining of clinical records for companion animal,"Fins, IS",2024,VETERINARY RECORD,,,10.1002/vetr.3669
WOS:001640019200003,Parallel Corpus Analysis of Text and Audio Comprehension to Evaluate,"Ahmed, A",2025,JOURNAL OF MEDICAL INTERNET RESEARCH,,,10.2196/69772
WOS:001504390500001,A Collaborative Model for Integrating Teacher and GenAI into Future,"Memon, TD",2025,TECHTRENDS,,,10.1007/s11528-025-01105-w
WOS:001648115100014,Dynamic monitoring and early warning of public emotional perception of,"Qiu, ZX",2025,APPLIED PSYCHOLOGY-HEALTH AND WELL BEING,,,10.1111/aphw.70101
WOS:000770589200001,Deep Graph Translation,"Guo, XJ",2023,IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS,,,10.1109/TNNLS.2022.3144670
WOS:001398905900001,Natural Language Processing and Machine Learning Applications For,"Yilmaz, K",2024,JOURNAL OF MEASUREMENT AND EVALUATION IN EDUCATION AND PSYCHOLOGY-EPOD,,,10.21031/epod.1551568
WOS:001571191000001,Enhancing text classification using hybrid embeddings and advanced,"Chaudhary, A",2026,INTERNATIONAL JOURNAL OF SYSTEM ASSURANCE ENGINEERING AND MANAGEMENT,,,10.1007/s13198-025-02950-x
WOS:001468338800001,A Primer for Evaluating Large Language Models in Social-Science Research,"Abdurahman, S",2025,ADVANCES IN METHODS AND PRACTICES IN PSYCHOLOGICAL SCIENCE,,,10.1177/25152459251325174
WOS:000767052700001,How to cheat on your final paper: Assigning AI for student writing,"Fyfe, P",2023,AI & SOCIETY,,,10.1007/s00146-022-01397-z
WOS:001452979900001,Can ChatGPT Boost Students' Employment Confidence? A Pioneering Booster,"Xiao, Y",2025,BEHAVIORAL SCIENCES,,,10.3390/bs15030362
WOS:001390049700016,Evaluating the ability of large language models to emulate personality,"Wang, YL",2025,SCIENTIFIC REPORTS,,,10.1038/s41598-024-84109-5
WOS:001427233800007,Exploring the potential and limitations of large language models as,"Rakovics, Z",2024,INTERSECTIONS-EAST EUROPEAN JOURNAL OF SOCIETY AND POLITICS,,,10.17356/ieejsp.v10i4.1326
WOS:001292157300027,Exploring the molecular mechanisms and shared potential drugs between,"Wei, ZQ",2024,SCIENTIFIC REPORTS,,,10.1038/s41598-024-69080-5
WOS:001629656200028,INVESTIGATION OF CLOSED FORM SOLITARY WAVE SOLUTIONS FOR THE COUPLED,"Ahmed, N",2025,THERMAL SCIENCE,,,10.2298/TSCI2506431A
WOS:001283143200001,Dense and Disconnected: Analyzing the Sedimented Style of,"Markey, B",2024,WRITTEN COMMUNICATION,,,10.1177/07410883241263528
WOS:001539437000012,The Impact of ChatGPT on Students' Academic Achievement: A Meta-Analysis,"Liu, ZW",2025,JOURNAL OF COMPUTER ASSISTED LEARNING,,,10.1111/jcal.70096
WOS:001530121800002,An improved mural image restoration method based on diffusion model,"Li, Y",2025,NPJ HERITAGE SCIENCE,,,10.1038/s40494-025-01914-5
WOS:001285933800001,"Assessing information, media and data literacy in academic libraries:","Pinto, M",2024,JOURNAL OF ACADEMIC LIBRARIANSHIP,,,10.1016/j.acalib.2024.102920
WOS:001410204500001,Unifying clustering and representation learning for unsupervised text,"Costa, G",2025,INFORMATION FUSION,,,10.1016/j.inffus.2024.102886
WOS:001143143100002,A bibliometric analysis of publications on ChatGPT in education:,"Zheltukhina, MR",2024,ONLINE JOURNAL OF COMMUNICATION AND MEDIA TECHNOLOGIES,,,10.30935/ojcmt/14103
WOS:001409306100001,Can large language models estimate public opinion about global warming?,"Lee, SG",2024,PLOS CLIMATE,,,10.1371/journal.pclm.0000429
WOS:001605976600026,Validating the PANDORA GenAI Susceptibility Rubric for Higher Education,"Alvira, NB",2025,HIGHER EDUCATION QUARTERLY,,,10.1111/hequ.70056
WOS:001256778900001,Automatic Removal of Non-Architectural Elements in 3D Models of Historic,"Rusnak, A",2024,HERITAGE,,,10.3390/heritage7060157
WOS:001708068300001,Multimedia-Based Digital Reality Technologies: Ad Hoc Committee That,"Mozar, S",2025,IEEE TRANSACTIONS ON TECHNOLOGY AND SOCIETY,,,10.1109/TTS.2025.3603940
WOS:001632868300032,A real-time large language model framework with attention and embedding,"Alarfaj, FK",2026,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,,,10.1016/j.engappai.2025.113304
WOS:001295910600002,VAIV bio-discovery service using transformer model and retrieval,"Kim, S",2024,BMC BIOINFORMATICS,,,10.1186/s12859-024-05903-6
WOS:001336287700001,ChatGPT versus human essayists: an exploration of the impact of,"Revell, T",2024,INTERNATIONAL JOURNAL FOR EDUCATIONAL INTEGRITY,,,10.1007/s40979-024-00161-8
WOS:001566441400001,Corpus sense: A comprehensive tool for advanced text and discourse,"Moreno-Ortiz, A",2025,APPLIED CORPUS LINGUISTICS,,,10.1016/j.acorp.2025.100145
WOS:001478484900001,AI driven cardiovascular risk prediction using NLP and Large Language,"Li, A",2025,SLAS TECHNOLOGY,,,10.1016/j.slast.2025.100286
WOS:001314511200011,"'Hey ChatGPT, Finish This Building …': A Worker-Led AI Agenda for the","Fox, S",2024,ARCHITECTURAL DESIGN,,,10.1002/ad.3053
WOS:001606820600001,"""What People Are Saying"" About Extreme Weather: A Comparison of Public","Lambrecht, K",2025,IEEE TRANSACTIONS ON PROFESSIONAL COMMUNICATION,,,10.1109/TPC.2025.3613863
WOS:001651596800005,Towards human-AI collaboration in the competency-based curriculum,"Padovano, A",2024,COMPUTERS AND EDUCATION: ARTIFICIAL INTELLIGENCE,,,10.1016/j.caeai.2024.100256
WOS:001518539800001,Supporting historic mural image inpainting by using coordinate attention,"Zhang, JJ",2025,NPJ HERITAGE SCIENCE,,,10.1038/s40494-025-01891-9
